OriginState,DestState,AvgFare
Colorado,New Jersey,335.2041473
Colorado,New Mexico,195.0554002
Colorado,New York,291.6659272
Colorado,North Carolina,275.6898619
Colorado,North Dakota,298.6942146
Colorado,Ohio,246.0013099
Colorado,Oklahoma,200.8081766
Colorado,Oregon,223.8966321
Colorado,Pennsylvania,272.0565942
Colorado,Puerto Rico,297.6661831
Colorado,Rhode Island,275.1368576
Colorado,South Carolina,271.6704991
Colorado,South Dakota,247.8699462
Colorado,Tennessee,239.5419286
Colorado,Texas,228.153224
Colorado,U.S. Pacific Trust Territories and Possessions,1142.303214
Colorado,U.S. Virgin Islands,357.5629035
Colorado,Utah,173.8521614
Colorado,Vermont,295.648106
Colorado,Virginia,296.9582377
Colorado,Washington,215.7266731
Colorado,West Virginia,329.8092121
Colorado,Wisconsin,234.1156862
Colorado,Wyoming,303.6632654
Connecticut,Alabama,273.0608903
Connecticut,Alaska,461.2692437
Connecticut,Arizona,293.5343614
Connecticut,Arkansas,284.9587848
Connecticut,California,308.0381237
Connecticut,Colorado,254.7788152
Connecticut,Florida,194.8924792
Connecticut,Georgia,249.3176427
Connecticut,Hawaii,535.1481243
Connecticut,Idaho,312.9425916
Connecticut,Illinois,256.4585349
Connecticut,Indiana,264.2274232
Connecticut,Iowa,287.6265146
Connecticut,Kansas,276.495062
Connecticut,Kentucky,293.5318752
Connecticut,Louisiana,250.5695781
Connecticut,Maine,628.5
Connecticut,Maryland,159.9815164
Connecticut,Michigan,283.0457361
Connecticut,Minnesota,324.3497403
Connecticut,Mississippi,283.0166164
Connecticut,Missouri,254.5103248
Connecticut,Montana,362.004511
Connecticut,Nebraska,288.9116193
Connecticut,Nevada,262.4524517
Connecticut,New Jersey,450.9276389
Connecticut,New Mexico,257.9135487
Connecticut,New York,253.6252913
Connecticut,North Carolina,233.4334698
Connecticut,North Dakota,312.4696742
Connecticut,Ohio,237.609194
Connecticut,Oklahoma,280.7929257
Connecticut,Oregon,330.8848336
Connecticut,Pennsylvania,252.703554
Connecticut,Puerto Rico,249.6811101
Connecticut,South Carolina,221.0137967
Connecticut,South Dakota,336.0105505
Connecticut,Tennessee,249.4459352
Connecticut,Texas,285.608929
Connecticut,U.S. Pacific Trust Territories and Possessions,1408.785
Connecticut,U.S. Virgin Islands,290.4464317
Connecticut,Utah,300.1770991
Connecticut,Vermont,268.49
Connecticut,Virginia,183.5316339
Connecticut,Washington,329.0538799
Connecticut,West Virginia,300.2193855
Connecticut,Wisconsin,287.0993059
Connecticut,Wyoming,360.2137993
Delaware,Florida,101.0361458
Florida,Alabama,239.0722637
Florida,Alaska,386.9794476
Florida,Arizona,273.4618526
Florida,Arkansas,262.7022036
Florida,California,305.8527838
Florida,Colorado,259.5693116
Florida,Connecticut,195.731365
Florida,Delaware,100.6574733
Florida,Florida,210.0365882
Florida,Georgia,193.5248745
Florida,Hawaii,547.6949292
Florida,Idaho,312.4501
Florida,Illinois,215.9661243
Florida,Indiana,206.3182608
Florida,Iowa,239.1439121
Florida,Kansas,243.0296591
Florida,Kentucky,221.1403651
Florida,Louisiana,215.5580971
Florida,Maine,230.7735886
Florida,Maryland,184.2639982
Florida,Massachusetts,223.3350931
Florida,Michigan,213.6765837
Florida,Minnesota,237.2411533
Florida,Mississippi,270.2793375
Florida,Missouri,226.9887511
Florida,Montana,342.893898
Florida,Nebraska,241.4405129
Florida,Nevada,260.0706745
Florida,New Hampshire,200.1993752
Florida,New Jersey,232.4491399
Florida,New Mexico,256.4240681
Florida,New York,214.1560239
Florida,North Carolina,217.7984029
Florida,North Dakota,299.8647041
Florida,Ohio,190.9311301
Florida,Oklahoma,250.1995094
Florida,Oregon,296.7333141
Florida,Pennsylvania,203.4742242
Florida,Puerto Rico,205.8386629
Florida,Rhode Island,197.8245897
Florida,South Carolina,237.9889826
Florida,South Dakota,289.8512833
Florida,Tennessee,220.9022954
Florida,Texas,225.2483327
Florida,U.S. Pacific Trust Territories and Possessions,1089.400222
Florida,U.S. Virgin Islands,270.6868657
Florida,Utah,270.287221
Florida,Vermont,222.6375449
Florida,Virginia,203.4732083
