StatePair,OriginState,DestState,TotalFare,TotalTickets,AvgFare
Wisconsin:Alabama,Wisconsin,Alabama,505939.19999999995,1680,301.15428571428566
Minnesota:Virginia,Minnesota,Virginia,4905706.880000025,17702,277.1272669754844
Kentucky:Rhode Island,Kentucky,Rhode Island,399925.64999999985,1399,285.8653681200857
Pennsylvania:Georgia,Pennsylvania,Georgia,6431135.330000024,31498,204.17598990412168
Indiana:Montana,Indiana,Montana,385713.9199999996,1155,333.9514458874455
Ohio:Wisconsin,Ohio,Wisconsin,1647796.3800000027,5961,276.4295218923004
North Dakota:West Virginia,North Dakota,West Virginia,28361.13,74,383.25851351351355
Maine:Minnesota,Maine,Minnesota,461493.14999999997,1563,295.26113243761995
Tennessee:Florida,Tennessee,Florida,11090231.79000001,51002,217.44699796086448
Arkansas:Massachusetts,Arkansas,Massachusetts,678436.1799999995,2191,309.64681880419874
North Dakota:Oklahoma,North Dakota,Oklahoma,435025.10999999975,1200,362.5209249999998
Texas:Pennsylvania,Texas,Pennsylvania,20012680.329999972,73521,272.20359257899065
Missouri:Puerto Rico,Missouri,Puerto Rico,770887.9599999987,2840,271.4394225352108
Texas:Louisiana,Texas,Louisiana,8502235.719999995,40065,212.2110500436789
Rhode Island:Indiana,Rhode Island,Indiana,344587.5600000003,1398,246.48609442060106
Oklahoma:Maine,Oklahoma,Maine,141115.60000000006,465,303.4744086021507
West Virginia:Indiana,West Virginia,Indiana,7358.349999999999,20,367.91749999999996
Colorado:New Jersey,Colorado,New Jersey,5014318.839999984,14959,335.2041473360508
North Dakota:Maryland,North Dakota,Maryland,191441.20999999993,638,300.06459247648894
Kansas:Michigan,Kansas,Michigan,324619.4,1200,270.51616666666666
New York:Missouri,New York,Missouri,7146924.290000002,28542,250.40026242029296
Arizona:Hawaii,Arizona,Hawaii,4819608.519999991,12146,396.80623415116014
Hawaii:U.S. Virgin Islands,Hawaii,U.S. Virgin Islands,37622.479999999996,63,597.1822222222222
Wyoming:Arizona,Wyoming,Arizona,2773593.510000002,1300,2133.533469230771
South Carolina:Montana,South Carolina,Montana,271408.35000000015,719,377.4803198887346
Illinois:Alaska,Illinois,Alaska,1262413.2300000002,3231,390.7190436397401
Louisiana:South Carolina,Louisiana,South Carolina,1135960.3099999996,4368,260.06417353479844
Georgia:Maryland,Georgia,Maryland,2036855.5300000003,10778,188.98269901651514
Connecticut:Ohio,Connecticut,Ohio,999384.2699999985,4206,237.60919400855886
